time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,Total Load % Difference from Forecasted Value,Price % Difference from Forecasted Value,SEASON
12/21/2016 7:00,337,951,7502,6788,269,38,581,1770,6584,56,96,35,292,6485,20,6594,31722,31516,67.49,72.08,-0.65%,6.80%,WINTER
12/21/2016 8:00,337,979,8713,6894,278,38,640,3251,6616,58,99,59,292,6265,77,6309,34400,34752,70.15,76.34,1.02%,8.82%,WINTER
12/21/2016 9:00,337,979,8951,6918,280,3,669,3685,6648,59,102,655,284,5814,613,5881,35400,35620,70.69,76.82,0.62%,8.67%,WINTER
12/21/2016 10:00,340,978,9000,6930,280,0,678,3497,6678,59,106,1667,282,5260,1489,5466,35667,35877,70.2,77.58,0.59%,10.51%,WINTER
12/21/2016 11:00,343,981,9085,6934,279,0,706,3531,6706,57,105,2457,282,4802,2226,4936,35436,35544,69.2,76.58,0.30%,10.66%,WINTER
12/21/2016 12:00,344,981,8633,6933,263,0,653,2997,6739,59,104,2910,281,4376,2845,4526,35061,34991,67.53,74.87,-0.20%,10.87%,WINTER
12/21/2016 13:00,344,981,8506,6932,279,0,646,2891,6765,61,104,2966,280,3973,2976,4127,34797,34681,67.49,73.65,-0.33%,9.13%,WINTER
12/21/2016 14:00,345,981,8287,6925,290,0,655,2687,6765,62,104,2665,276,3816,2866,3794,34049,33687,67.23,73.39,-1.06%,9.16%,WINTER
12/21/2016 15:00,342,964,8210,6915,287,0,728,2310,6762,58,105,2221,280,3686,2467,3665,33625,33314,67.23,73.77,-0.92%,9.73%,WINTER
12/21/2016 16:00,343,980,8767,6914,295,0,725,3177,6761,57,103,1431,278,3438,1695,3537,33602,33281,68.75,75.07,-0.96%,9.19%,WINTER
12/21/2016 17:00,344,987,8939,6876,296,0,728,4751,6748,56,107,552,272,3302,768,3342,34477,34041,72.69,79.68,-1.26%,9.62%,WINTER
12/21/2016 18:00,347,988,9955,6922,298,0,767,6006,6749,57,107,101,263,3519,259,3470,36324,36060,75,84.66,-0.73%,12.88%,WINTER
12/21/2016 19:00,337,988,10303,6911,304,0,762,5547,6744,56,107,59,268,3691,83,3621,36614,36387,75,84.43,-0.62%,12.57%,WINTER
12/21/2016 20:00,332,976,10097,6894,302,0,767,4745,6765,55,109,86,271,3499,33,3607,36921,36664,72.69,82.27,-0.70%,13.18%,WINTER
